#OTU ID	sample129	sample99	sample104	sample127	sample118	sample98	sample137	sample117	sample125	sample122	sample138	sample126	sample147	sample143	sample128	sample146	sample141	sample145	sample131	sample136	sample132	sample159	sample124	sample106	sample97	sample155	sample140	sample151	sample158	sample144	sample123	sample100	sample102	sample135	sample139	sample134	sample112	sample114	sample101	sample150	sample163	sample154	sample111	sample108	sample107	sample120	sample160	sample157	sample115	sample109	sample116	sample121	sample113	sample105	sample119	sample110	sample149	sample133	sample142	sample148	sample156	sample103	sample161	sample152	sample165	sample164	sample130	sample162	sample91	sample153	sample74	sample55	sample50	sample63	sample87	sample93	sample45	sample2	sample62
BOTU_87	355	86	76	194	44	75	610	49	223	180	405	309	279	170	234	213	109	43	164	312	245	5	317	30	14	9	36	13	18	46	349	41	70	336	457	101	174	5	47	31	46	62	17	3	6	57	20	28	43	30	43	368	17	20	12	2	164	299	89	45	75	43	0	3	17	0	81	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_1734	24	94	29	11	32	127	11	20	7	10	14	8	19	10	22	46	17	16	12	15	25	31	21	11	172	0	10	6	36	13	33	21	32	16	16	22	19	18	26	30	0	0	24	5	10	21	37	8	13	19	32	13	19	0	6	9	36	17	14	7	0	24	0	10	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_3373	0	1	3	0	3	0	2	1	0	0	1	0	1	2	2	6	3	2	0	1	0	0	0	1	0	0	0	0	0	0	0	5	18	2	1	0	6	0	3	6	0	0	9	0	0	1	0	0	1	0	1	0	0	0	3	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_58	285	10	5	1402	15	18	345	16	158	67	260	177	186	98	86	155	162	18	79	254	106	0	656	8	2	0	12	4	4	2	47	5	14	673	1273	119	59	2	2	38	27	16	9	0	1	20	5	41	35	8	24	77	1	0	17	12	36	136	45	11	0	0	0	2	0	0	647	0	3	0	0	0	0	0	0	0	0	0	0
BOTU_2898	2	6	0	0	3	12	0	1	0	2	1	0	3	0	0	3	1	1	0	3	0	3	0	3	23	0	0	2	3	1	1	4	0	1	1	4	0	1	6	0	0	0	0	0	0	0	8	0	0	0	1	3	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_2679	3	4	8	0	0	13	15	2	0	0	10	0	10	11	13	2	6	4	0	19	0	0	0	1	5	0	9	1	0	1	0	11	6	20	4	0	1	3	7	10	0	0	1	0	0	1	9	0	1	1	2	0	16	5	0	0	6	0	10	1	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_1	5940	490	9206	5346	3551	781	8311	2528	7772	5725	8577	9166	10520	6240	5459	4217	1984	12779	2847	6821	6362	877	7710	1132	728	276	2053	281	1409	1998	8676	8490	7094	6604	5961	1281	1591	2992	6577	3039	744	319	1437	1402	704	12316	2852	1189	867	1646	1173	7806	8189	518	448	643	3497	3220	2662	6708	513	4921	0	340	870	129	1276	0	6	0	0	0	0	1	0	0	0	0	0
BOTU_292	64	59	233	67	50	111	72	71	60	132	76	43	53	100	69	511	43	157	19	68	125	17	103	7	158	0	33	6	8	48	221	161	159	64	76	19	97	63	132	169	15	62	74	6	17	28	114	5	6	49	79	245	41	9	32	29	143	48	37	21	12	120	0	3	23	0	8	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_8802	0	1	0	0	30	0	0	52	1	0	0	0	0	1	1	69	1	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	55	0	5	3	0	0	2	0	0	16	2	0	1	0	0	0	0	5	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOTU_598	8	54	2	46	1	153	45	0	42	56	28	92	21	12	33	18	9	7	6	24	30	1	73	0	2	0	1	1	0	8	73	0	2	12	10	25	19	2	1	2	21	0	2	4	1	5	1	3	0	0	0	146	0	0	0	0	14	18	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
