OTU_ID	Domain	D_Score	Phylum	P_Score	Class	C_Score	Subclass	SC_Score	Order	O_Score	Suborder	SO_Score	Family	F_Score	Genus	G_Score
BOTU_1	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Actinobacteridae	1.0	Actinomycetales	1.0	Micrococcineae	1.0	Micrococcaceae	1.0	Arthrobacter	1.0
BOTU_2	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Actinobacteridae	1.0	Actinomycetales	1.0	Frankineae	1.0	Geodermatophilaceae	1.0	Blastococcus	0.84
BOTU_3	Bacteria	1.0	Actinobacteria	1.0	Actinobacteria	1.0	Actinobacteridae	1.0	Actinomycetales	1.0	Propionibacterineae	1.0	Nocardioidaceae	1.0	Kribbella	1.0
BOTU_4	Bacteria	1.0	Proteobacteria	1.0	Betaproteobacteria	1.0	NA	NA	Methylophilales	1.0	NA	NA	Methylophilaceae	1.0	Methylophilus	0.75
BOTU_5	Bacteria	1.0	Acidobacteria	1.0	Acidobacteria_Gp16	1.0	NA	NA	NA	NA	NA	NA	NA	NA	Gp16	1.0
BOTU_6	Bacteria	1.0	Proteobacteria	1.0	Alphaproteobacteria	1.0	NA	NA	Rhizobiales	1.0	NA	NA	Hyphomicrobiaceae	0.87	Devosia	0.87
BOTU_7	Bacteria	1.0	Proteobacteria	1.0	Gammaproteobacteria	1.0	NA	NA	Xanthomonadales	1.0	NA	NA	Xanthomonadaceae	1.0	Rhodanobacter	1.0
BOTU_8	Bacteria	1.0	Proteobacteria	1.0	Gammaproteobacteria	0.98	NA	NA	Xanthomonadales	0.88	NA	NA	Sinobacteraceae	0.82	Povalibacter	0.74
BOTU_9	Bacteria	1.0	Actinobacteria	0.97	Actinobacteria	0.96	Rubrobacteridae	0.95	Solirubrobacterales	0.9	NA	NA	Solirubrobacteraceae	0.57	Solirubrobacter	0.57
BOTU_10	Bacteria	1.0	Bacteroidetes	1.0	Sphingobacteriia	1.0	NA	NA	Sphingobacteriales	1.0	NA	NA	Sphingobacteriaceae	1.0	Pedobacter	0.99
BOTU_11	Bacteria	1.0	Bacteroidetes	1.0	Cytophagia	1.0	NA	NA	Cytophagales	1.0	NA	NA	NA	NA	Ohtaekwangia	0.6
