#OTU ID	sample101	sample66	sample69	sample87	sample28	sample75	sample53	sample98	sample117	sample80	sample44	sample13	sample114	sample111	sample36	sample106	sample25	sample132	sample125	sample138	sample143	sample46	sample54	sample94	sample39	sample6	sample133	sample49	sample55	sample152	sample31	sample70	sample137	sample60	sample56	sample64	sample88	sample24	sample127	sample120	sample124	sample89	sample41	sample14	sample113	sample112	sample79	sample17	sample27	sample67	sample40	sample76	sample134	sample130	sample10	sample63	sample7	sample18	sample78	sample82	sample37	sample95	sample77	sample128	sample5	sample145	sample81	sample8	sample118	sample121	sample1	sample135	sample126	sample4	sample47	sample57	sample151	sample11	sample16	sample42	sample136	sample97	sample20	sample68	sample9	sample38	sample96	sample91	sample45	sample50	sample131	sample65	sample26	sample33	sample123	sample2	sample29	sample99	sample71	sample86	sample19	sample105	sample48	sample52	sample34	sample3	sample22	sample74	sample129	sample147	sample150	sample148	sample139	sample51	sample30	sample61	sample149	sample90	sample43	sample122	sample21	sample59	sample146	sample12	sample73	sample58	sample115	sample93	sample32	sample85	sample119	sample109	sample62	sample103	sample15	sample100	sample102	sample92	sample84	sample141	sample144	sample35	sample142	sample23	sample140	sample104	sample116	sample72	sample107	sample83	sample110	sample108
OTU_1843	907	0	3	31	0	0	52	0	25	0	12	0	442	2223	0	0	0	11	4	0	7	151	38	0	458	9	0	450	1	2	0	3	0	2	43	0	8	0	0	3791	5	6	261	0	2650	26	0	0	0	0	255	0	0	59	0	0	0	0	0	33	0	2	1	0	13	88	2	0	3036	0	24	0	0	18	45	5	0	0	0	783	211	34	0	0	0	0	3	0	99	1	2	1	0	0	0	0	0	16	4	0	0	0	79	1038	0	11	0	0	7	1	399	0	0	777	0	9	9	0	370	48	0	3	9	0	0	540	140	0	3	65	0	190	0	0	1	944	0	4	8	0	0	0	0	0	0	0	188	0	0	0	59	0
OTU_38	0	52	39	40	217	56	151	0	64	113	9	28	0	0	165	0	207	204	0	18	0	27	72	107	9	146	35	18	183	0	106	56	40	42	87	111	19	263	0	2	0	28	12	172	0	10	289	211	323	43	15	181	0	0	133	60	211	1739	64	8	265	27	135	0	510	40	29	43	105	0	76	0	0	287	50	73	0	63	223	18	63	30	61	32	136	355	38	121	4	19	8	61	357	57	0	112	78	0	12	25	61	0	35	9	37	148	52	51	0	5	0	0	12	4	359	27	0	19	11	0	15	44	22	18	36	97	1	29	62	20	0	0	9	0	225	0	0	87	7	0	0	12	0	0	0	0	0	0	0	0	0	0
OTU_43	0	37	108	66	58	78	7	4	135	82	23	538	0	0	44	0	272	3	0	0	0	29	181	205	35	114	6	35	183	0	121	139	1	64	59	60	30	259	0	4	0	138	57	320	0	5	227	162	97	60	49	86	0	0	62	306	245	149	66	11	172	41	55	0	162	3	58	36	51	0	171	12	0	26	155	118	0	155	333	8	21	13	141	24	37	217	24	93	71	1	4	51	147	134	0	33	96	0	35	6	91	0	55	1	66	185	316	193	0	2	0	0	4	36	189	52	0	121	7	0	305	53	0	163	155	50	0	45	35	69	663	0	22	0	402	185	0	52	15	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_231	0	0	0	144	0	0	16	0	0	0	18	0	0	0	0	0	0	0	0	0	0	7	12	37	0	14	0	15	6	0	0	0	0	0	0	0	19	0	0	0	0	4	3	0	0	1	0	6	0	0	0	0	0	0	0	0	46	74	0	0	0	3	0	0	39	0	0	25	0	0	0	0	0	0	19	42	0	0	0	9	0	0	0	0	0	0	12	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	57	0	12	0	14	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	0	129	151	0	206	176	4	1	0	245	0	341	0	28	93	0	127	162	0	20	4	0	0	7	0	36	48	4	8	0	88	376	12	282	0	208	0	104	0	0	0	8	0	667	0	0	159	3	132	285	248	118	0	0	299	492	12	0	262	0	134	27	337	0	0	0	132	0	0	0	0	0	0	0	45	0	0	280	323	0	0	0	73	307	725	171	31	165	0	32	0	80	221	41	0	4	116	22	22	0	180	0	0	0	144	7	156	158	3	123	0	0	10	7	174	265	0	0	0	0	236	174	1	91	321	0	0	24	124	0	0	0	132	0	775	0	0	144	0	0	0	10	0	0	0	0	0	0	0	0	0	0
OTU_40	0	7	106	0	0	74	0	0	0	1	0	0	0	0	0	0	0	157	48	1541	50	0	0	0	0	0	77	0	0	0	0	43	67	11	4	25	0	0	1007	0	394	0	0	0	0	6	0	0	0	23	0	25	102	306	0	3	0	0	158	2	0	0	191	128	0	0	6	0	0	0	0	1748	29	0	0	2	0	0	4	0	142	0	1	19	0	0	0	3	0	2	231	16	1	0	13	0	0	0	3	0	0	0	3	0	179	0	0	375	357	124	0	103	342	0	0	16	21	0	0	14	0	2	166	0	8	0	0	0	52	0	0	0	25	0	0	0	120	20	0	1235	0	14	0	0	0	0	0	0	0	0	0	0
OTU_7	0	13	34	0	53	7	9409	0	594	11	6465	25	0	24	15	0	77	1	0	3	0	36	7186	29	5	68	266	454	877	0	33	53	0	82	3402	49	65	21	0	19	0	41	5	119	0	224	51	108	49	32	50	53	0	0	98	44	301	98	15	0	18	2825	0	0	112	907	15	68	785	0	4865	0	13	158	72	3965	0	91	43	22	15	0	105	51	857	26	6641	14	21	2316	4	7	6	63	0	771	46	10	3107	3	59	0	38	1	0	142	32	37	4	0	0	0	0	7	21	41	0	11	57	0	0	280	3	82	29	38	2044	143	21	2	881	0	23	0	26	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_16	0	59	18	0	0	8	0	22155	0	122	8	1	0	1	47	0	0	6	0	0	3	0	0	29	0	0	66	6	0	0	64	0	0	1	0	0	0	4	2	0	0	4	0	0	0	0	470	10	1	6	0	0	0	0	0	3	0	9	6	10	8	2	0	0	0	0	52	3	0	0	0	0	0	0	0	3	0	9	19	4	0	2615	54	1624	14	3	0	29	0	3	0	47	21	1	0	0	625	6906	1592	0	14	0	5	0	227	0	0	0	0	0	0	0	0	0	167	24	0	3	3	0	0	8	6	129	1	0	0	0	1	0	0	0	2	0	1827	255	0	10	0	0	0	55	0	0	0	0	0	0	0	0	0	0
OTU_15	0	383	284	48	172	411	184	93	217	325	209	664	0	452	371	28	202	10	0	22	6	248	1058	169	48	727	81	640	651	0	81	243	20	352	821	644	87	161	0	117	7	142	582	43	6	450	42	1189	100	247	504	150	0	0	184	176	319	218	657	71	131	1122	419	27	471	7	319	2468	236	0	177	7	26	578	300	718	0	425	489	147	21	330	53	666	1298	52	1123	599	268	425	25	261	143	174	0	0	105	191	210	4	266	0	218	142	306	864	223	255	29	60	5	0	23	302	50	308	0	21	134	0	255	354	31	290	558	294	31	158	122	166	481	58	140	0	602	0	0	298	4	0	0	195	151	0	0	149	255	0	0	0	0	0
OTU_8	0	181	232	91	120	1337	707	204	709	238	79	201	0	91	429	0	484	2576	0	694	2	214	1021	179	100	1254	434	394	1005	0	173	1004	610	310	727	240	161	1004	1	40	3	73	199	297	0	61	744	1141	1175	139	63	755	581	13	157	339	1846	1465	857	0	569	322	972	19	899	11	243	1299	193	0	745	796	21	1160	183	375	0	363	245	121	615	1662	347	147	601	822	445	1101	149	373	76	221	877	482	220	636	75	346	109	20	850	0	242	113	573	714	776	1982	264	249	16	512	1491	68	199	131	0	92	383	0	804	437	161	273	1384	784	228	135	749	27	93	0	150	0	512	167	0	611	0	104	0	315	0	0	0	0	0	0	0	0	0	0
