"","collection_date","site_id","site","fert_status","plot_rep","pseudo_no","x_cord","y_cord"
"MMPRNT1465","7/9/2018","LUX","Lux Harbor","FERT","1","1","6.44","2.69"
"MMPRNT1466","7/9/2018","LUX","Lux Harbor","FERT","1","2","7.88","1.16"
"MMPRNT1467","7/9/2018","LUX","Lux Harbor","FERT","1","3","5.46","3.07"
"MMPRNT1468","7/9/2018","LUX","Lux Harbor","UNFERT","1","1","3.93","2.28"
"MMPRNT1469","7/9/2018","LUX","Lux Harbor","UNFERT","1","2","5.76","5.21"
"MMPRNT1470","7/9/2018","LUX","Lux Harbor","UNFERT","1","3","17.85","0.98"
"MMPRNT1471","7/9/2018","LUX","Lux Harbor","FERT","2","1","7.5","2.51"
"MMPRNT1472","7/9/2018","LUX","Lux Harbor","FERT","2","2","3.19","2.77"
"MMPRNT1473","7/9/2018","LUX","Lux Harbor","FERT","2","3","5.61","2.55"
"MMPRNT1474","7/9/2018","LUX","Lux Harbor","UNFERT","2","1","15.91","2.84"
"MMPRNT1475","7/9/2018","LUX","Lux Harbor","UNFERT","2","2","8.06","5.69"
"MMPRNT1476","7/9/2018","LUX","Lux Harbor","UNFERT","2","3","16.36","5.59"
"MMPRNT1477","7/9/2018","LUX","Lux Harbor","FERT","3","1","1","0.53"
"MMPRNT1478","7/9/2018","LUX","Lux Harbor","FERT","3","2","2.26","3.39"
"MMPRNT1479","7/9/2018","LUX","Lux Harbor","FERT","3","3","4.5","0.94"
"MMPRNT1480","7/9/2018","LUX","Lux Harbor","UNFERT","3","1","12.68","4.78"
"MMPRNT1481","7/9/2018","LUX","Lux Harbor","UNFERT","3","2","1.3","4.99"
"MMPRNT1482","7/9/2018","LUX","Lux Harbor","UNFERT","3","3","8.42","1.95"
"MMPRNT1483","7/9/2018","LUX","Lux Harbor","FERT","4","1","8.37","5.79"
"MMPRNT1484","7/9/2018","LUX","Lux Harbor","FERT","4","2","0.72","3.04"
"MMPRNT1485","7/9/2018","LUX","Lux Harbor","FERT","4","3","7.73","0.63"
"MMPRNT1486","7/9/2018","LUX","Lux Harbor","UNFERT","4","1","5.27","3.5"
"MMPRNT1487","7/9/2018","LUX","Lux Harbor","UNFERT","4","2","15.69","2.28"
"MMPRNT1488","7/9/2018","LUX","Lux Harbor","UNFERT","4","3","1.26","3.85"
"MMPRNT1537","7/10/2018","LC","Lake City","FERT","1","1","7.06","4.35"
"MMPRNT1538","7/10/2018","LC","Lake City","FERT","1","2","1.58","4.92"
"MMPRNT1539","7/10/2018","LC","Lake City","FERT","1","3","9","7.16"
"MMPRNT1540","7/10/2018","LC","Lake City","UNFERT","1","1","2.44","3.64"
"MMPRNT1541","7/10/2018","LC","Lake City","UNFERT","1","2","8.44","7.45"
"MMPRNT1542","7/10/2018","LC","Lake City","UNFERT","1","3","6.92","2.15"
"MMPRNT1543","7/10/2018","LC","Lake City","FERT","2","1","17.25","6.24"
"MMPRNT1544","7/10/2018","LC","Lake City","FERT","2","2","16.34","1.56"
"MMPRNT1545","7/10/2018","LC","Lake City","FERT","2","3","16.02","2.9"
"MMPRNT1546","7/10/2018","LC","Lake City","UNFERT","2","1","17.7","2.76"
"MMPRNT1547","7/10/2018","LC","Lake City","UNFERT","2","2","6.88","1.39"
"MMPRNT1548","7/10/2018","LC","Lake City","UNFERT","2","3","14.25","9.1"
"MMPRNT1549","7/10/2018","LC","Lake City","FERT","3","1","16.81","2.58"
"MMPRNT1551","7/10/2018","LC","Lake City","FERT","3","3","11.01","5.52"
"MMPRNT1552","7/10/2018","LC","Lake City","UNFERT","3","1","4.77","8.79"
"MMPRNT1553","7/10/2018","LC","Lake City","UNFERT","3","2","18.6","4.91"
"MMPRNT1554","7/10/2018","LC","Lake City","UNFERT","3","3","3.71","7.39"
"MMPRNT1555","7/10/2018","LC","Lake City","FERT","4","1","3.02","4.1"
"MMPRNT1556","7/10/2018","LC","Lake City","FERT","4","2","3.92","1.82"
"MMPRNT1557","7/10/2018","LC","Lake City","FERT","4","3","7.51","7.62"
"MMPRNT1559","7/10/2018","LC","Lake City","UNFERT","4","2","5.76","3.31"
"MMPRNT1616","7/16/2018","HAN","Hancock","FERT","2","2","4.8","2.68"
"MMPRNT1617","7/16/2018","HAN","Hancock","FERT","2","3","2.71","1.99"
"MMPRNT1618","7/16/2018","HAN","Hancock","UNFERT","2","1","13.95","0.73"
"MMPRNT1619","7/16/2018","HAN","Hancock","UNFERT","2","2","10.25","0.77"
"MMPRNT1620","7/16/2018","HAN","Hancock","UNFERT","2","3","13.1","3.59"
"MMPRNT1621","7/16/2018","HAN","Hancock","FERT","3","1","4.06","2.71"
"MMPRNT1623","7/16/2018","HAN","Hancock","FERT","3","3","8.34","2.02"
"MMPRNT1624","7/16/2018","HAN","Hancock","UNFERT","3","1","15.28","1.12"
"MMPRNT1625","7/16/2018","HAN","Hancock","UNFERT","3","2","17.77","1.31"
"MMPRNT1626","7/16/2018","HAN","Hancock","UNFERT","3","3","16.84","2.6"
"MMPRNT1627","7/16/2018","HAN","Hancock","FERT","4","1","3.5","1.54"
"MMPRNT1628","7/16/2018","HAN","Hancock","FERT","4","2","5.68","0.76"
"MMPRNT1629","7/16/2018","HAN","Hancock","FERT","4","3","1.56","4.62"
"MMPRNT1630","7/16/2018","HAN","Hancock","UNFERT","4","1","15.85","0.87"
"MMPRNT1632","7/16/2018","HAN","Hancock","UNFERT","4","3","18.33","1.03"
"MMPRNT1681","7/23/2018","RHN","Rhinelander","FERT","1","1","1.61","3.37"
"MMPRNT1682","7/23/2018","RHN","Rhinelander","FERT","1","2","2.04","0.78"
"MMPRNT1683","7/23/2018","RHN","Rhinelander","FERT","1","3","3.64","5"
"MMPRNT1684","7/23/2018","RHN","Rhinelander","UNFERT","1","1","15.07","2.41"
"MMPRNT1685","7/23/2018","RHN","Rhinelander","UNFERT","1","2","10.34","5.11"
"MMPRNT1686","7/23/2018","RHN","Rhinelander","UNFERT","1","3","12.1","3.69"
"MMPRNT1687","7/23/2018","RHN","Rhinelander","FERT","2","1","15.03","1.02"
"MMPRNT1688","7/23/2018","RHN","Rhinelander","FERT","2","2","11.28","1.49"
"MMPRNT1689","7/23/2018","RHN","Rhinelander","FERT","2","3","18.64","3.25"
"MMPRNT1690","7/23/2018","RHN","Rhinelander","UNFERT","2","1","17.97","5.05"
"MMPRNT1691","7/23/2018","RHN","Rhinelander","UNFERT","2","2","16.2","4.82"
"MMPRNT1692","7/23/2018","RHN","Rhinelander","UNFERT","2","3","13.35","4.7"
"MMPRNT1693","7/23/2018","RHN","Rhinelander","FERT","3","1","8.01","0.66"
"MMPRNT1694","7/23/2018","RHN","Rhinelander","FERT","3","2","4.8","3.41"
"MMPRNT1695","7/23/2018","RHN","Rhinelander","FERT","3","3","2.14","0.72"
"MMPRNT1696","7/23/2018","RHN","Rhinelander","UNFERT","3","1","15.72","5.17"
"MMPRNT1697","7/23/2018","RHN","Rhinelander","UNFERT","3","2","14.52","1.75"
"MMPRNT1698","7/23/2018","RHN","Rhinelander","UNFERT","3","3","13.55","1.63"
"MMPRNT1699","7/23/2018","RHN","Rhinelander","FERT","4","1","2.24","0.61"
"MMPRNT1700","7/23/2018","RHN","Rhinelander","FERT","4","2","9.75","4.51"
"MMPRNT1701","7/23/2018","RHN","Rhinelander","FERT","4","3","5.09","1.18"
"MMPRNT1702","7/23/2018","RHN","Rhinelander","UNFERT","4","1","14.04","3.05"
"MMPRNT1703","7/23/2018","RHN","Rhinelander","UNFERT","4","2","15.82","3.84"
"MMPRNT1704","7/23/2018","RHN","Rhinelander","UNFERT","4","3","12.98","1.4"
"MMPRNT1753","7/24/2018","ESC","Escanaba","FERT","1","1","0.75","2.48"
"MMPRNT1754","7/24/2018","ESC","Escanaba","FERT","1","2","3.51","3.75"
