SampleID,collectionDate,leadContact,siteID,plotType,fertStatus,plotRep,pseudo_no,xCord,yCord,Description
MMPRNT1465,7/9/2018,Vander Stel,LUX,G5,FERT,1,1,6.44,2.69,sampleID:  MMPRNT-1465    info: 070918_LUX_G5_Rep1_FERT_pseudo1
MMPRNT1466,7/9/2018,Vander Stel,LUX,G5,FERT,1,2,7.88,1.16,sampleID:  MMPRNT-1466    info: 070918_LUX_G5_Rep1_FERT_pseudo2
MMPRNT1467,7/9/2018,Vander Stel,LUX,G5,FERT,1,3,5.46,3.07,sampleID:  MMPRNT-1467    info: 070918_LUX_G5_Rep1_FERT_pseudo3
MMPRNT1468,7/9/2018,Vander Stel,LUX,G5,UNFERT,1,1,3.93,2.28,sampleID:  MMPRNT-1468    info: 070918_LUX_G5_Rep1_UNFERT_pseudo1
MMPRNT1469,7/9/2018,Vander Stel,LUX,G5,UNFERT,1,2,5.76,5.21,sampleID:  MMPRNT-1469    info: 070918_LUX_G5_Rep1_UNFERT_pseudo2
MMPRNT1470,7/9/2018,Vander Stel,LUX,G5,UNFERT,1,3,17.85,0.98,sampleID:  MMPRNT-1470    info: 070918_LUX_G5_Rep1_UNFERT_pseudo3
MMPRNT1471,7/9/2018,Vander Stel,LUX,G5,FERT,2,1,7.5,2.51,sampleID:  MMPRNT-1471    info: 070918_LUX_G5_Rep2_FERT_pseudo1
MMPRNT1472,7/9/2018,Vander Stel,LUX,G5,FERT,2,2,3.19,2.77,sampleID:  MMPRNT-1472    info: 070918_LUX_G5_Rep2_FERT_pseudo2
MMPRNT1473,7/9/2018,Vander Stel,LUX,G5,FERT,2,3,5.61,2.55,sampleID:  MMPRNT-1473    info: 070918_LUX_G5_Rep2_FERT_pseudo3
MMPRNT1474,7/9/2018,Vander Stel,LUX,G5,UNFERT,2,1,15.91,2.84,sampleID:  MMPRNT-1474    info: 070918_LUX_G5_Rep2_UNFERT_pseudo1
MMPRNT1475,7/9/2018,Vander Stel,LUX,G5,UNFERT,2,2,8.06,5.69,sampleID:  MMPRNT-1475    info: 070918_LUX_G5_Rep2_UNFERT_pseudo2
MMPRNT1476,7/9/2018,Vander Stel,LUX,G5,UNFERT,2,3,16.36,5.59,sampleID:  MMPRNT-1476    info: 070918_LUX_G5_Rep2_UNFERT_pseudo3
MMPRNT1477,7/9/2018,Vander Stel,LUX,G5,FERT,3,1,1,0.53,sampleID:  MMPRNT-1477    info: 070918_LUX_G5_Rep3_FERT_pseudo1
MMPRNT1478,7/9/2018,Vander Stel,LUX,G5,FERT,3,2,2.26,3.39,sampleID:  MMPRNT-1478    info: 070918_LUX_G5_Rep3_FERT_pseudo2
MMPRNT1479,7/9/2018,Vander Stel,LUX,G5,FERT,3,3,4.5,0.94,sampleID:  MMPRNT-1479    info: 070918_LUX_G5_Rep3_FERT_pseudo3
