>Zotu1	Query_1
>Zotu2	Query_2
>Zotu3	Query_3
>Zotu4	Query_4
>Zotu5	Query_5
>Zotu6	Query_6
>Zotu7	Query_7
>Zotu8	Query_8
>Zotu9	Query_9
>Zotu10	Query_10
>Zotu11	Query_11
>Zotu12	Query_12
>Zotu13	Query_13
>Zotu14	Query_14
>Zotu15	Query_15
>Zotu16	Query_16
>Zotu17	Query_17
>Zotu18	Query_18
>Zotu19	Query_19
>Zotu20	Query_20
>Zotu21	Query_21
>Zotu22	Query_22
>Zotu23	Query_23
>Zotu24	Query_24
>Zotu25	Query_25
>Zotu26	Query_26
>Zotu27	Query_27
>Zotu28	Query_28
>Zotu29	Query_29
>Zotu30	Query_30
>Zotu31	Query_31
>Zotu32	Query_32
>Zotu33	Query_33
>Zotu34	Query_34
>Zotu35	Query_35
>Zotu36	Query_36
>Zotu37	Query_37
>Zotu38	Query_38
>Zotu39	Query_39
>Zotu40	Query_40
>Zotu41	Query_41
>Zotu42	Query_42
>Zotu43	Query_43
>Zotu44	Query_44
>Zotu45	Query_45
>Zotu46	Query_46
>Zotu47	Query_47
>Zotu48	Query_48
>Zotu49	Query_49
>Zotu50	Query_50
>Zotu51	Query_51
>Zotu52	Query_52
>Zotu53	Query_53
>Zotu54	Query_54
>Zotu55	Query_55
>Zotu56	Query_56
>Zotu57	Query_57
>Zotu58	Query_58
>Zotu59	Query_59
>Zotu60	Query_60
>Zotu61	Query_61
>Zotu62	Query_62
>Zotu63	Query_63
>Zotu64	Query_64
>Zotu65	Query_65
>Zotu66	Query_66
>Zotu67	Query_67
>Zotu68	Query_68
>Zotu69	Query_69
>Zotu70	Query_70
>Zotu71	Query_71
>Zotu72	Query_72
>Zotu73	Query_73
>Zotu74	Query_74
>Zotu75	Query_75
>Zotu76	Query_76
>Zotu77	Query_77
>Zotu78	Query_78
>Zotu79	Query_79
>Zotu80	Query_80
>Zotu81	Query_81
>Zotu82	Query_82
>Zotu83	Query_83
>Zotu84	Query_84
>Zotu85	Query_85
>Zotu86	Query_86
>Zotu87	Query_87
>Zotu88	Query_88
>Zotu89	Query_89
>Zotu90	Query_90
>Zotu91	Query_91
>Zotu92	Query_92
>Zotu93	Query_93
>Zotu94	Query_94
>Zotu95	Query_95
>Zotu96	Query_96
>Zotu97	Query_97
>Zotu98	Query_98
>Zotu99	Query_99
>Zotu100	Query_100
>Zotu101	Query_101
>Zotu102	Query_102
>Zotu103	Query_103
>Zotu104	Query_104
>Zotu105	Query_105
>Zotu106	Query_106
>Zotu107	Query_107
>Zotu108	Query_108
>Zotu109	Query_109
>Zotu110	Query_110
>Zotu111	Query_111
>Zotu112	Query_112
>Zotu113	Query_113
>Zotu114	Query_114
>Zotu115	Query_115
>Zotu116	Query_116
>Zotu117	Query_117
>Zotu118	Query_118
>Zotu119	Query_119
>Zotu120	Query_120
>Zotu121	Query_121
>Zotu122	Query_122
>Zotu123	Query_123
>Zotu124	Query_124
>Zotu125	Query_125
>Zotu126	Query_126
>Zotu127	Query_127
>Zotu128	Query_128
>Zotu129	Query_129
>Zotu130	Query_130
>Zotu131	Query_131
>Zotu132	Query_132
>Zotu133	Query_133
>Zotu134	Query_134
>Zotu135	Query_135
>Zotu136	Query_136
>Zotu137	Query_137
>Zotu138	Query_138
>Zotu139	Query_139
>Zotu140	Query_140
>Zotu141	Query_141
>Zotu142	Query_142
>Zotu143	Query_143
>Zotu144	Query_144
>Zotu145	Query_145
>Zotu146	Query_146
>Zotu147	Query_147
>Zotu148	Query_148
>Zotu149	Query_149
>Zotu150	Query_150
>Zotu151	Query_151
>Zotu152	Query_152
>Zotu153	Query_153
>Zotu154	Query_154
>Zotu155	Query_155
>Zotu156	Query_156
>Zotu157	Query_157
>Zotu158	Query_158
>Zotu159	Query_159
>Zotu160	Query_160
>Zotu161	Query_161
>Zotu162	Query_162
>Zotu163	Query_163
>Zotu164	Query_164
>Zotu165	Query_165
>Zotu166	Query_166
>Zotu167	Query_167
>Zotu168	Query_168
>Zotu169	Query_169
>Zotu170	Query_170
>Zotu171	Query_171
>Zotu172	Query_172
>Zotu173	Query_173
>Zotu174	Query_174
>Zotu175	Query_175
>Zotu176	Query_176
>Zotu177	Query_177
>Zotu178	Query_178
>Zotu179	Query_179
>Zotu180	Query_180
>Zotu181	Query_181
>Zotu182	Query_182
>Zotu183	Query_183
>Zotu184	Query_184
>Zotu185	Query_185
>Zotu186	Query_186
>Zotu187	Query_187
>Zotu188	Query_188
>Zotu189	Query_189
>Zotu190	Query_190
>Zotu191	Query_191
>Zotu192	Query_192
>Zotu193	Query_193
>Zotu194	Query_194
>Zotu195	Query_195
>Zotu196	Query_196
>Zotu197	Query_197
>Zotu198	Query_198
>Zotu199	Query_199
>Zotu200	Query_200
>Zotu201	Query_201
>Zotu202	Query_202
>Zotu203	Query_203
>Zotu204	Query_204
>Zotu205	Query_205
>Zotu206	Query_206
>Zotu207	Query_207
>Zotu208	Query_208
>Zotu209	Query_209
>Zotu210	Query_210
>Zotu211	Query_211
>Zotu212	Query_212
>Zotu213	Query_213
>Zotu214	Query_214
>Zotu215	Query_215
