>Zotu6549	Query_1
>Zotu970	Query_2
>Zotu926	Query_3
>Zotu9653	Query_4
>Zotu9609	Query_5
>Zotu9990	Query_6
>Zotu9597	Query_7
>Zotu6973	Query_8
>Zotu5533	Query_9
>Zotu7124	Query_10
>Zotu9911	Query_11
>Zotu7611	Query_12
>Zotu8256	Query_13
>Zotu8175	Query_14
>Zotu11890	Query_15
>Zotu5979	Query_16
>Zotu9576	Query_17
>Zotu7109	Query_18
>Zotu9338	Query_19
>Zotu9723	Query_20
>Zotu8565	Query_21
>Zotu6392	Query_22
>Zotu699	Query_23
>Zotu8197	Query_24
>Zotu9674	Query_25
>Zotu8518	Query_26
>Zotu7339	Query_27
>Zotu98	Query_28
>Zotu7351	Query_29
>Zotu11466	Query_30
>Zotu9529	Query_31
>Zotu772	Query_32
>Zotu9195	Query_33
>Zotu9657	Query_34
>Zotu9100	Query_35
>Zotu7628	Query_36
>Zotu6409	Query_37
>Zotu6314	Query_38
>Zotu10535	Query_39
>Zotu9300	Query_40
>Zotu8906	Query_41
>Zotu7205	Query_42
>Zotu9824	Query_43
>Zotu8195	Query_44
>Zotu9106	Query_45
>Zotu9886	Query_46
>Zotu8020	Query_47
>Zotu8608	Query_48
>Zotu9896	Query_49
>Zotu873	Query_50
>Zotu8049	Query_51
>Zotu9486	Query_52
>Zotu855	Query_53
>Zotu6113	Query_54
>Zotu6300	Query_55
>Zotu7693	Query_56
>Zotu11775	Query_57
>Zotu5821	Query_58
>Zotu939	Query_59
>Zotu9357	Query_60
>Zotu8538	Query_61
>Zotu9754	Query_62
>Zotu9270	Query_63
>Zotu7892	Query_64
>Zotu2501	Query_65
>Zotu9322	Query_66
>Zotu9556	Query_67
>Zotu9409	Query_68
>Zotu9866	Query_69
>Zotu11467	Query_70
>Zotu7748	Query_71
>Zotu621	Query_72
>Zotu9352	Query_73
>Zotu9246	Query_74
>Zotu8216	Query_75
>Zotu7597	Query_76
>Zotu9642	Query_77
>Zotu8864	Query_78
>Zotu7494	Query_79
>Zotu8351	Query_80
>Zotu9213	Query_81
>Zotu897	Query_82
>Zotu8965	Query_83
>Zotu5928	Query_84
>Zotu6503	Query_85
>Zotu8846	Query_86
>Zotu9933	Query_87
>Zotu9607	Query_88
>Zotu9058	Query_89
>Zotu8192	Query_90
>Zotu10743	Query_91
>Zotu8129	Query_92
>Zotu9258	Query_93
>Zotu7003	Query_94
>Zotu9979	Query_95
>Zotu9563	Query_96
>Zotu63	Query_97
>Zotu95	Query_98
>Zotu10236	Query_99
>Zotu9987	Query_100
>Zotu8450	Query_101
>Zotu913	Query_102
>Zotu9356	Query_103
>Zotu5086	Query_104
>Zotu10794	Query_105
>Zotu945	Query_106
>Zotu9672	Query_107
>Zotu9132	Query_108
>Zotu8271	Query_109
>Zotu7923	Query_110
>Zotu9282	Query_111
>Zotu4486	Query_112
>Zotu5988	Query_113
>Zotu9262	Query_114
>Zotu9798	Query_115
>Zotu5313	Query_116
>Zotu7625	Query_117
>Zotu8265	Query_118
>Zotu9266	Query_119
>Zotu6276	Query_120
>Zotu5880	Query_121
>Zotu6810	Query_122
>Zotu10263	Query_123
>Zotu5785	Query_124
>Zotu9662	Query_125
>Zotu9497	Query_126
>Zotu7095	Query_127
>Zotu5287	Query_128
>Zotu5709	Query_129
>Zotu5593	Query_130
>Zotu9920	Query_131
>Zotu10049	Query_132
>Zotu7290	Query_133
>Zotu8523	Query_134
>Zotu7771	Query_135
>Zotu9208	Query_136
>Zotu7636	Query_137
>Zotu6781	Query_138
>Zotu9297	Query_139
>Zotu11493	Query_140
>Zotu10971	Query_141
>Zotu11164	Query_142
>Zotu8728	Query_143
>Zotu10620	Query_144
>Zotu8526	Query_145
>Zotu9818	Query_146
>Zotu10075	Query_147
>Zotu6098	Query_148
>Zotu11166	Query_149
>Zotu8085	Query_150
>Zotu11324	Query_151
>Zotu10503	Query_152
>Zotu9611	Query_153
>Zotu6429	Query_154
>Zotu11542	Query_155
