#OTU ID	MMPRNT1465	MMPRNT1466	MMPRNT1467	MMPRNT1468	MMPRNT1469	MMPRNT1470	MMPRNT1471	MMPRNT1472	MMPRNT1473	MMPRNT1474	MMPRNT1475	MMPRNT1476	MMPRNT1477	MMPRNT1478	MMPRNT1479	MMPRNT1480	MMPRNT1481	MMPRNT1482	MMPRNT1483	MMPRNT1484	MMPRNT1485	MMPRNT1486	MMPRNT1487	MMPRNT1488	MMPRNT1537	MMPRNT1538	MMPRNT1539	MMPRNT1540	MMPRNT1541	MMPRNT1542	MMPRNT1543	MMPRNT1544	MMPRNT1545	MMPRNT1546	MMPRNT1547	MMPRNT1548	MMPRNT1549	MMPRNT1550	MMPRNT1551	MMPRNT1552	MMPRNT1553	MMPRNT1554	MMPRNT1555	MMPRNT1556	MMPRNT1557	MMPRNT1558	MMPRNT1559	MMPRNT1616	MMPRNT1617	MMPRNT1618	MMPRNT1619	MMPRNT1620	MMPRNT1621	MMPRNT1622	MMPRNT1623	MMPRNT1624	MMPRNT1625	MMPRNT1626	MMPRNT1627	MMPRNT1628	MMPRNT1629	MMPRNT1630	MMPRNT1631	MMPRNT1632	MMPRNT1681	MMPRNT1682	MMPRNT1683	MMPRNT1684	MMPRNT1685	MMPRNT1686	MMPRNT1687	MMPRNT1688	MMPRNT1689	MMPRNT1690	MMPRNT1691	MMPRNT1692	MMPRNT1693	MMPRNT1694	MMPRNT1695	MMPRNT1696	MMPRNT1697	MMPRNT1698	MMPRNT1699	MMPRNT1700	MMPRNT1701	MMPRNT1702	MMPRNT1703	MMPRNT1704	MMPRNT1753	MMPRNT1754	MMPRNT1755	MMPRNT1756	MMPRNT1757	MMPRNT1758	MMPRNT1759	MMPRNT1760	MMPRNT1761	MMPRNT1762	MMPRNT1763	MMPRNT1764	MMPRNT1765	MMPRNT1766	MMPRNT1767	MMPRNT1768	MMPRNT1769	MMPRNT1770	MMPRNT1771	MMPRNT1772	MMPRNT1773	MMPRNT1774	MMPRNT1775	MMPRNT1776	MMPRNTCtrl7BB5
Zotu8020	466	544	166	600	1822	790	769	711	1012	1075	592	463	47	22	0	0	131	0	79	1683	1129	1452	220	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1676	432	116	259	0	57	0	0	0	102	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
Zotu7339	571	0	2393	3	0	0	148	1	0	0	0	721	250	260	360	27	0	871	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	34	0	0	49	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	35	36	0	1707	0	0	2	3	319	2	2	0	1	0	0	272	337	4850	1	0	0	0
Zotu6352	1188	295	973	3063	2696	345	0	62	0	0	0	0	119	137	0	1784	0	378	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	148	0	0	0	0	0	1	2	0	0	0	12	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8878	627	0	78	189	0	21	0	1	0	0	0	0	290	16	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	124	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu6362	886	0	2590	165	155	486	1	51	0	0	0	0	262	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	203	236	419	168	0	0	0	0
Zotu9464	938	937	571	237	2112	205	479	128	682	1125	0	673	829	0	1	0	101	0	379	0	0	0	0	127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1726	16	0	268	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	937	119	51	406	258	0	146	2122	1016	3	0	33	377	393	583	1	31	726	899	247	190	590	535	0
Zotu9300	588	0	0	332	11	0	24	51	0	0	0	0	0	0	550	34	0	0	0	2720	88	147	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11663	534	1257	147	120	805	246	411	4	113	302	1	1064	535	6	1	110	382	109	150	174	419	139	21	44	16	298	9	0	5	0	139	0	0	0	1	180	0	0	0	25	0	0	6	2	0	93	24	54	18	72	69	0	29	113	27	63	0	0	71	71	10	114	14	581	267	243	67	31	34	163	9	201	7	9	0	0	44	74	55	155	222	43	90	111	431	0	0	217	0	0	175	0	0	0	97	295	0	0	0	0	147	0	178	0	0	0	0	0	0	0	0	0	149
Zotu767	941	3621	1569	916	2714	4674	712	187	605	3331	1338	3101	1146	1275	680	1114	1621	3891	521	5254	3359	3909	327	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1314	0	0	1643	0	0	639	292	555	728	5453	399	29	1	491	46	18	25	228	96	616	0	1	177	547	163	443	135	461	1	40	3	1	0	2	156	196	217	4279	451	2648	1122	4378	2114	128	1367	2714	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1398	0	0	0	0
Zotu11890	1707	461	1088	279	370	230	872	76	479	207	265	1	1346	85	1238	466	196	189	0	736	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	2	1	0	0	0	0	8
