#OTU ID	GhC2	GhT6	GhT3	GhP6	GhT4	GhP1	GhC1	GhP4	GhP2	GhC5	GhT1	GhC4	GhP3	GhC3	GhP5	Ghcontrol4	GhT2	GhT5	Ghcontrol2	GhC6	Ghcontrol3	Ghcontrol1
OTU_777	6	3	3	0	1	3	13	2	6	32	8	5	11	12	0	2	2	1	0	13	0	0
OTU_641	8	9	4	17	25	13	6	2	7	4	22	4	8	5	21	10	13	11	0	1	0	0
OTU_15	494	713	864	1216	1049	591	399	616	258	424	624	375	473	419	755	414	1018	797	0	361	0	0
OTU_1487	10	1	1	1	1	1	1	3	1	1	1	5	9	4	4	3	49	0	0	20	0	0
OTU_255	164	185	143	187	293	25	271	203	220	193	334	124	140	216	115	33	307	148	0	72	0	0
OTU_2	372	845	886	2161	1371	668	216	949	233	194	654	332	213	200	1177	235	987	1137	0	185	0	0
OTU_1357	66	118	113	78	165	130	34	178	50	19	71	60	21	29	102	60	102	86	0	36	0	0
OTU_12	934	628	728	802	937	1271	916	928	795	802	571	892	740	1027	1013	667	726	739	0	878	0	0
OTU_82	160	52	81	75	168	16	212	82	133	151	180	93	257	146	82	65	61	75	0	155	0	0
OTU_663	19	3	5	42	24	23	8	31	9	14	4	53	20	9	8	18	19	6	0	45	0	0
OTU_1876	6	1	0	4	2	0	9	3	13	10	2	2	2	12	2	2	3	0	0	7	0	0
OTU_261	43	21	19	32	63	6	37	45	29	72	20	29	27	33	57	16	20	14	0	99	0	0
OTU_18	73	444	376	1108	603	622	53	557	128	39	197	74	115	54	439	407	500	414	0	46	0	0
OTU_14	271	424	717	2207	1227	233	231	626	167	177	670	175	311	121	757	208	778	587	0	190	0	0
OTU_1607	8	1	0	1	4	3	15	1	14	25	6	5	9	21	7	0	10	2	0	0	0	0
OTU_1197	9	5	5	8	8	0	3	8	0	2	15	11	14	3	12	1	6	9	0	6	0	0
OTU_9	1551	1292	1373	2423	2125	2125	1050	1459	1241	923	1400	1627	720	1204	1640	1586	1533	1280	0	2168	0	0
OTU_1682	4	0	0	2	1	0	0	3	0	3	3	15	8	0	5	3	3	0	0	25	0	0
OTU_932	28	9	4	10	31	70	18	90	30	28	5	37	18	24	15	74	6	4	0	91	0	0
OTU_53	379	47	47	585	70	122	247	245	212	211	42	249	165	285	244	68	67	43	0	222	0	0
OTU_1096	11	4	11	13	4	4	25	13	4	7	10	6	7	18	11	3	11	12	0	6	0	0
OTU_4795	22	7	7	28	26	37	27	13	34	27	15	30	4	36	11	33	7	14	0	22	0	0
OTU_20	1448	959	918	1523	1406	1091	989	1077	887	809	947	1373	844	1104	1252	785	866	861	0	1175	0	0
OTU_1253	4	2	1	2	1	0	13	0	8	4	3	9	1	8	2	1	2	3	0	4	0	0
OTU_1	2211	1427	1433	4117	2327	1845	1562	4297	1197	1416	1137	1937	2636	1671	2574	1477	1687	1651	0	1601	0	0
OTU_370	129	4	0	45	0	0	124	42	55	59	1	107	75	100	15	14	2	0	0	180	0	0
OTU_110	168	225	282	69	357	145	199	58	184	187	357	103	132	159	128	106	251	290	0	206	0	0
OTU_33	447	279	310	407	385	121	385	571	281	379	344	427	503	384	406	151	298	380	0	376	0	0
OTU_424	39	11	10	2	13	16	34	8	32	36	20	14	37	39	7	2	11	11	0	27	0	0
OTU_831	20	5	6	34	3	6	21	12	24	17	0	9	11	11	19	1	10	8	0	19	0	0
OTU_3791	0	1	2	0	0	0	0	1	0	0	6	0	0	0	1	0	1	0	0	0	0	0
OTU_2686	6	4	4	7	2	0	4	5	0	2	3	3	0	2	3	0	1	2	0	1	0	0
OTU_101	64	117	109	145	163	127	46	64	57	60	136	64	36	50	114	96	133	122	0	82	0	0
OTU_36	750	104	126	183	197	342	972	395	803	1416	175	761	394	1125	231	343	310	134	0	1410	0	0
OTU_35	165	20	56	71	48	52	360	115	250	731	58	142	259	132	130	169	2	31	0	486	0	0
OTU_5	1014	923	908	1581	1350	324	1078	758	664	1033	1047	774	467	1036	852	296	879	877	0	1132	0	0
OTU_237	24	6	6	26	4	2	35	88	14	80	9	26	30	22	71	7	3	1	0	95	0	0
OTU_29	241	307	255	584	465	579	142	255	209	136	157	422	86	187	394	295	280	282	0	169	0	0
OTU_1616	4	3	5	5	2	0	0	3	0	2	4	1	0	2	4	0	1	2	0	5	0	0
OTU_5986	337	11	3	41	19	41	228	32	158	207	13	393	19	269	32	71	18	18	0	330	0	0
OTU_238	91	17	22	3	20	4	99	19	52	92	41	41	36	70	11	1	19	37	0	73	0	0
OTU_19	122	238	253	1535	514	364	51	478	75	24	171	126	78	49	649	143	304	305	0	99	0	0
OTU_185	117	62	40	53	84	16	168	236	154	173	58	155	103	200	144	22	57	45	0	304	0	0
OTU_1332	11	1	0	55	1	0	5	9	1	3	0	3	3	1	4	2	3	0	0	12	0	0
