OTU_ID	Domain	D_Score	Phylum	P_Score	Class	C_Score	Subclass	SC_Score	Order	O_Score	Suborder	SO_Score	Family	F_Score	Genus	G_Score
OTU_1	Bacteria	1	Acidobacteria	1	Acidobacteria_Gp16	1	NA	NA	NA	NA	NA	NA	NA	NA	Gp16	1
OTU_2	Bacteria	1	Actinobacteria	0.87	Actinobacteria	0.77	Rubrobacteridae	0.62	Gaiellales	0.62	NA	NA	Gaiellaceae	0.62	Gaiella	0.62
OTU_3	Archaea	1	Thaumarchaeota	1	NA	NA	NA	NA	Nitrososphaerales	1	NA	NA	Nitrososphaeraceae	1	Nitrososphaera	1
OTU_4	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Micrococcineae	1	Micrococcaceae	1	Arthrobacter	0.98
OTU_5	Bacteria	1	Acidobacteria	0.66	Acidobacteria_Gp16	0.66	NA	NA	NA	NA	NA	NA	NA	NA	Gp16	0.66
OTU_6	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Rubrobacteridae	1	Gaiellales	1	NA	NA	Gaiellaceae	1	Gaiella	1
OTU_7	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Rubrobacteridae	1	Gaiellales	1	NA	NA	Gaiellaceae	1	Gaiella	1
OTU_8	Bacteria	1	Acidobacteria	1	Acidobacteria_Gp4	1	NA	NA	NA	NA	NA	NA	NA	NA	Gp4	1
OTU_9	Bacteria	1	Actinobacteria	0.97	Actinobacteria	0.97	Rubrobacteridae	0.97	Solirubrobacterales	0.97	NA	NA	Solirubrobacteraceae	0.52	Solirubrobacter	0.52
OTU_10	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Frankineae	1	Geodermatophilaceae	1	Blastococcus	0.83
OTU_11	Bacteria	1	Proteobacteria	1	Betaproteobacteria	0.97	NA	NA	Burkholderiales	0.41	NA	NA	Alcaligenaceae	0.27	Basilea	0.25
OTU_12	Bacteria	1	Acidobacteria	0.76	Acidobacteria_Gp16	0.69	NA	NA	NA	NA	NA	NA	NA	NA	Gp16	0.69
OTU_13	Archaea	1	Thaumarchaeota	1	NA	NA	NA	NA	Nitrososphaerales	1	NA	NA	Nitrososphaeraceae	1	Nitrososphaera	1
OTU_14	Bacteria	1	Actinobacteria	0.84	Actinobacteria	0.82	Acidimicrobidae	0.63	Acidimicrobiales	0.63	Acidimicrobineae	0.63	Iamiaceae	0.45	Aquihabitans	0.41
OTU_15	Bacteria	1	Chloroflexi	0.54	Ktedonobacteria	0.17	NA	NA	Ktedonobacterales	0.17	NA	NA	Ktedonobacteraceae	0.17	Ktedonobacter	0.17
OTU_16	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	NA	NA	Rhizobiales	1	NA	NA	Bradyrhizobiaceae	1	Bradyrhizobium	1
OTU_17	Bacteria	1	Bacteroidetes	1	Sphingobacteriia	1	NA	NA	Sphingobacteriales	1	NA	NA	Chitinophagaceae	1	Terrimonas	0.44
OTU_18	Bacteria	1	Actinobacteria	1	Actinobacteria	0.99	Rubrobacteridae	0.99	Gaiellales	0.96	NA	NA	Gaiellaceae	0.96	Gaiella	0.96
OTU_19	Bacteria	1	Actinobacteria	0.84	Actinobacteria	0.83	Acidimicrobidae	0.19	Acidimicrobiales	0.19	Acidimicrobineae	0.19	Acidimicrobineae_incertae_sedis	0.17	Aciditerrimonas	0.17
OTU_20	Bacteria	1	Actinobacteria	0.99	Actinobacteria	0.97	Rubrobacteridae	0.96	Solirubrobacterales	0.94	NA	NA	Solirubrobacteraceae	0.9	Solirubrobacter	0.9
OTU_21	Bacteria	1	Actinobacteria	0.96	Actinobacteria	0.96	Acidimicrobidae	0.4	Acidimicrobiales	0.4	Acidimicrobineae	0.4	Acidimicrobineae_incertae_sedis	0.36	Aciditerrimonas	0.36
OTU_22	Bacteria	1	Proteobacteria	1	Betaproteobacteria	1	NA	NA	Burkholderiales	1	NA	NA	Oxalobacteraceae	1	Massilia	1
OTU_23	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Micrococcineae	1	Microbacteriaceae	1	Agromyces	0.91
OTU_24	Bacteria	1	Acidobacteria	1	Acidobacteria_Gp4	1	NA	NA	NA	NA	NA	NA	NA	NA	Blastocatella	0.56
OTU_25	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Streptomycineae	1	Streptomycetaceae	1	Streptomyces	0.96
OTU_26	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Rubrobacteridae	1	Gaiellales	0.99	NA	NA	Gaiellaceae	0.99	Gaiella	0.99
OTU_27	Archaea	1	Thaumarchaeota	1	NA	NA	NA	NA	Nitrososphaerales	1	NA	NA	Nitrososphaeraceae	1	Nitrososphaera	1
OTU_28	Bacteria	0.99	Actinobacteria	0.96	Thermoleophilia	0.58	NA	NA	Thermoleophilales	0.58	NA	NA	Thermoleophilaceae	0.58	Thermoleophilum	0.58
OTU_29	Bacteria	0.99	Actinobacteria	0.77	Actinobacteria	0.73	Actinobacteridae	0.51	Actinomycetales	0.51	Streptosporangineae	0.36	Nocardiopsaceae	0.18	Marinactinospora	0.1
OTU_30	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	NA	NA	Sphingomonadales	0.99	NA	NA	Sphingomonadaceae	0.99	Sphingomonas	0.99
OTU_31	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	NA	NA	Sphingomonadales	1	NA	NA	Sphingomonadaceae	1	Sphingomonas	0.67
OTU_32	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Rubrobacteridae	1	Gaiellales	1	NA	NA	Gaiellaceae	1	Gaiella	1
OTU_33	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Propionibacterineae	1	Nocardioidaceae	0.99	Nocardioides	0.95
OTU_34	Bacteria	1	Acidobacteria	1	Acidobacteria_Gp16	1	NA	NA	NA	NA	NA	NA	NA	NA	Gp16	1
OTU_35	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Micrococcineae	1	Promicromonosporaceae	1	Promicromonospora	0.98
OTU_36	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	NA	NA	Sphingomonadales	1	NA	NA	Sphingomonadaceae	1	Sphingomonas	0.8
OTU_37	Bacteria	0.99	Chloroflexi	0.9	Thermomicrobia	0.75	Sphaerobacteridae	0.62	Sphaerobacterales	0.62	Sphaerobacterineae	0.62	Sphaerobacteraceae	0.62	Nitrolancea	0.61
OTU_38	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Actinobacteridae	1	Actinomycetales	1	Corynebacterineae	1	Mycobacteriaceae	1	Mycobacterium	1
