#OTU ID	GhC3	Ghcontrol4	GhC2	GhP4	GhT2	GhC6	GhT1	GhC5	GhP6	GhC1	GhC4	GhT3	Ghcontrol3	GhT5	GhP2	GhP3	GhP5	GhP1	GhT4	GhT6	Ghcontrol1	Ghcontrol2
OTU_572	23	0	1	2	0	1	0	9	9	8	0	0	0	0	3	0	1	0	0	0	0	0
OTU_10	70	2320	109	0	0	60	1	41	1	0	132	0	4667	0	1087	223	0	225	42	0	0	54
OTU_200	14	1	154	0	0	27	0	12	11	42	23	0	0	0	24	0	0	0	32	13	0	0
OTU_298	6	0	24	21	0	1	0	10	0	8	18	0	0	145	0	0	2	0	4	0	0	0
OTU_29	29	185	107	83	343	100	738	124	10	59	60	45	25	88	66	573	72	310	77	535	0	0
OTU_6	285	110	517	520	6	4446	189	201	41	3098	87	9	200	40	2050	155	44	70	23	21	0	0
OTU_72	4	0	67	9	103	7	454	3	11	4	10	193	9	240	8	51	7	0	397	170	0	0
OTU_45	162	560	37	17	10	80	27	34	15	112	161	78	103	68	77	49	11	691	480	18	0	408
OTU_53	4	0	7	1	10	23	44	1666	0	6	12	49	0	36	4	0	5	0	282	46	0	0
OTU_27	240	63	146	254	44	216	57	209	77	125	76	190	0	246	106	235	1165	0	272	130	0	0
OTU_24	0	0	0	659	0	0	0	0	2952	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	3173	65	1146	131	72	1619	550	2443	22	3565	759	195	0	270	2086	125	118	0	371	260	0	0
OTU_43	2	0	409	1	0	3	0	1996	12	2	0	0	0	0	0	0	42	0	0	0	0	0
OTU_130	30	112	521	0	0	67	97	10	0	665	406	0	0	0	428	0	0	181	72	10	0	0
OTU_1	203	30	601	2526	4064	215	146	547	441	217	201	4324	0	173	195	1212	1016	0	327	29	0	0
OTU_15	793	59	1074	156	630	606	159	1052	57	1762	324	481	0	296	936	52	21	0	123	61	0	39
OTU_265	0	44	73	4	0	18	0	14	102	3	85	0	0	0	0	0	0	0	0	0	0	0
OTU_25	0	0	0	0	0	0	0	0	0	1940	0	0	0	0	1411	253	14	0	0	0	0	0
OTU_12	24	244	10	3	0	8	32	2	19	4	24	5	10558	21	173	154	1	250	39	23	0	2996
OTU_8	550	450	277	695	73	227	63	384	299	453	691	706	375	225	335	84	97	440	4944	286	0	313
OTU_5	707	444	534	489	110	397	533	437	300	787	322	234	231	3553	486	1046	146	965	983	333	0	0
OTU_508	0	0	4	0	0	0	15	0	0	0	0	64	0	9	0	0	0	0	90	0	0	0
