"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"OTU_147"	"Geese"	"high"	"Geesehigh"	4.5385448326083	-0.122975517760526	0.355876571723402	0.00000000135967037628859	0.0000198321521085454	0.00000000135967037628859	0.0000117665874364015	NA	"abundance"	18	18
"OTU_156"	"Geese"	"high"	"Geesehigh"	4.02381906137493	-0.122975517760526	0.354935859942678	0.00000000653740084288756	0.000047677264347179	0.00000000653740084288756	0.0000282873334471745	NA	"abundance"	18	18
"OTU_329"	"Geese"	"high"	"Geesehigh"	3.12005636049742	-0.122975517760526	0.302082351947689	0.0000000207626194015376	0.000100947855530276	0.0000000207626194015376	0.000059893236100302	NA	"abundance"	18	18
"OTU_215"	"Geese"	"high"	"Geesehigh"	2.23687060125718	-0.122975517760526	0.218969806361096	0.0000000418251460132524	0.00012201231594986	0.0000000418251460132524	0.0000723909627197372	NA	"abundance"	18	17
"OTU_6"	"Geese"	"high"	"Geesehigh"	3.35592837408427	-0.122975517760526	0.340271382173936	0.0000000391918573150463	0.00012201231594986	0.0000000391918573150463	0.0000723909627197372	NA	"abundance"	18	18
"OTU_100"	"Geese"	"high"	"Geesehigh"	2.96364298247816	-0.122975517760526	0.32243459071812	0.0000000945397906626511	0.000153217487400603	0.0000000945397906626511	0.0000909052609327314	NA	"abundance"	18	18
"OTU_26"	"Geese"	"high"	"Geesehigh"	1.9604296714062	-0.122975517760526	0.212189183146532	0.000000073640668674102	0.000153217487400603	0.000000073640668674102	0.0000909052609327314	NA	"abundance"	18	18
"OTU_458"	"Geese"	"high"	"Geesehigh"	4.67955999800389	-0.122975517760526	0.38890506304373	0.0000000891650464573956	0.000153217487400603	0.0000000891650464573956	0.0000909052609327314	NA	"abundance"	18	14
"OTU_5269"	"Geese"	"high"	"Geesehigh"	-3.53855699999369	-0.122975517760526	0.219515628975232	0.0000000894471139378794	0.000153217487400603	0.0000000894471139378794	0.0000909052609327314	NA	"abundance"	18	12
"OTU_473"	"Geese"	"high"	"Geesehigh"	3.6482638569562	-0.122975517760526	0.399063270012198	0.000000107890728795468	0.000157369417021069	0.000000107890728795468	0.0000933686366995978	NA	"abundance"	18	18
"OTU_525"	"Geese"	"high"	"Geesehigh"	2.31793916901007	-0.122975517760526	0.260144916433003	0.000000124662832945432	0.000165302916485643	0.000000124662832945432	0.0000980756505736157	NA	"abundance"	18	18
"OTU_127"	"Geese"	"high"	"Geesehigh"	1.18355359183704	-0.122975517760526	0.138744915802809	0.000000147331461031186	0.000179081390883407	0.000000147331461031186	0.00010625053864699	NA	"abundance"	18	18
"OTU_6"	"Geese"	"low"	"Geeselow"	3.02369980900988	-0.0832408318611617	0.340271382173936	0.000000169047414289025	0.000189671198832286	0.000000169047414289025	0.000112533563327479	NA	"abundance"	18	18
"OTU_559"	"Geese"	"high"	"Geesehigh"	2.86170594318621	-0.122975517760526	0.314432857859528	0.000000187573089949211	0.000195424363571371	0.000000375146144714758	0.000166645402123263	NA	"abundance"	18	17
"OTU_630"	"Geese"	"high"	"Geesehigh"	2.8334953387435	-0.122975517760526	0.284213643323485	0.000000249173214061926	0.000242296033353817	0.000000249173214061926	0.000154024642463708	NA	"abundance"	18	15
"OTU_53"	"Geese"	"high"	"Geesehigh"	-2.1690485472144	-0.122975517760526	0.231301532197007	0.000000268733615360617	0.000244984282103122	0.000000268733615360617	0.000155041380488718	NA	"abundance"	18	18
"OTU_778"	"Geese"	"high"	"Geesehigh"	-4.19513362617769	-0.122975517760526	0.446864166947862	0.000000301466663188421	0.000258658397015665	0.000000602933235494693	0.000179923593792106	NA	"abundance"	18	17
